"iso3c","year","Top10share","Top1share"
"BEL",2007,0.27990001,0.061999999
"BEL",2008,0.27200001,0.061299998
"BEL",2009,0.26879999,0.059799999
"BEL",2010,0.28200001,0.061000001
"BEL",2011,0.278,0.060899999
"BEL",2012,0.2832,0.061900001
"BEL",2013,0.2791,0.063299999
"BEL",2014,0.28040001,0.060199998
"BEL",2015,0.28709999,0.065200001
"BEL",2016,0.28619999,0.0669
"BEL",2017,NA,NA
"BEN",1960,NA,NA
"BEN",1961,NA,NA
"BEN",1962,NA,NA
"BEN",1963,NA,NA
"BEN",1964,NA,NA
"BEN",1965,NA,NA
"BEN",1966,NA,NA
"BEN",1967,NA,NA
"BEN",1968,NA,NA
"BEN",1969,NA,NA
"BEN",1970,NA,NA
"BEN",1971,NA,NA
"BEN",1972,NA,NA
"BEN",1973,NA,NA
"BEN",1974,NA,NA
"BEN",1975,NA,NA
"BEN",1976,NA,NA
"BEN",1977,NA,NA
"BEN",1978,NA,NA
"BEN",1979,NA,NA
"BEN",1980,NA,NA
"BEN",1981,NA,NA
"BEN",1982,NA,NA
"BEN",1983,NA,NA
"BEN",1984,NA,NA
"BEN",1985,NA,NA
"BEN",1986,NA,NA
"BEN",1987,NA,NA
"BEN",1988,NA,NA
"BEN",1989,NA,NA
"BEN",1990,0.4817928029,0.1613199329
"BEN",1991,0.4817928029,0.1613199329
"BEN",1992,0.4817928029,0.1613199329
"BEN",1993,0.4817928029,0.1613199329
"BEN",1994,0.4817928029,0.1613199329
"BEN",1995,0.4817928029,0.1613199329
"BEN",1996,0.4817928029,0.1613199329
"BEN",1997,0.4817928029,0.1613199329
"BEN",1998,0.4817928029,0.1613199329
"BEN",1999,0.4817928029,0.1613199329
"BEN",2000,0.4817928029,0.1613199329
"BEN",2001,0.4817928029,0.1613199329
"BEN",2002,0.4817928029,0.1613199329
"BEN",2003,0.4817928029,0.1613199329
"BEN",2004,0.4857243927,0.1601123003
"BEN",2005,0.4896559719,0.1589046777
"BEN",2006,0.4935875683,0.1576970443
"BEN",2007,0.4975191518,0.156489424
"BEN",2008,0.5014507474,0.1552817898
"BEN",2009,0.5053823301,0.1540741706
"BEN",2010,0.5093139257,0.1528665382
"BEN",2011,0.5132455024,0.1516589131
"BEN",2012,0.5217443119,0.1575019743
"BEN",2013,0.5302431169,0.1633450366
"BEN",2014,0.5387419229,0.169188111
"BEN",2015,0.5472407098,0.1750311739
"BEN",2016,0.5472407098,0.1750311739
"BEN",2017,0.5472407098,0.1750311739
"BFA",1960,NA,NA
"BFA",1961,NA,NA
"BFA",1962,NA,NA
"BFA",1963,NA,NA
"BFA",1964,NA,NA
"BFA",1965,NA,NA
"BFA",1966,NA,NA
"BFA",1967,NA,NA
"BFA",1968,NA,NA
"BFA",1969,NA,NA
"BFA",1970,NA,NA
"BFA",1971,NA,NA
"BFA",1972,NA,NA
"BFA",1973,NA,NA
"BFA",1974,NA,NA
"BFA",1975,NA,NA
"BFA",1976,NA,NA
"BFA",1977,NA,NA
"BFA",1978,NA,NA
"BFA",1979,NA,NA
"BFA",1980,NA,NA
"BFA",1981,NA,NA
"BFA",1982,NA,NA
"BFA",1983,NA,NA
"BFA",1984,NA,NA
"BFA",1985,NA,NA
"BFA",1986,NA,NA
"BFA",1987,NA,NA
"BFA",1988,NA,NA
"BFA",1989,NA,NA
"BFA",1990,0.5737815021,0.2106344035
"BFA",1991,0.5737815021,0.2106344035
"BFA",1992,0.5737815021,0.2106344035
"BFA",1993,0.5737815021,0.2106344035
"BFA",1994,0.5737815021,0.2106344035
"BFA",1995,0.5841507111,0.2242427412
"BFA",1996,0.5945199268,0.2378510801
"BFA",1997,0.6048891421,0.2514594148
"BFA",1998,0.6152583556,0.2650677571
"BFA",1999,0.5938741822,0.2455010113
"BFA",2000,0.5724900072,0.2259342656
"BFA",2001,0.5511058222,0.2063675195
"BFA",2002,0.5297216434,0.1868007757
"BFA",2003,0.508337466,0.1672340296
"BFA",2004,0.5059064,0.167634214
"BFA",2005,0.5034753176,0.1680343988
"BFA",2006,0.5010442383,0.16843457
"BFA",2007,0.4986131734,0.1688347574
"BFA",2008,0.4961820912,0.1692349405
"BFA",2009,0.4937510149,0.1696351258
"BFA",2010,0.4878537266,0.1643097477
"BFA",2011,0.4819564578,0.1589843874
"BFA",2012,0.4760591713,0.1536590093
"BFA",2013,0.4701618936,0.1483336494
