"year","EducIndex","iso3c"
1994,0.641,"SRB"
1994,NA,"SYC"
1994,0.213,"SLE"
1994,0.551,"SGP"
1994,0.706,"SVK"
1994,0.714,"SVN"
1994,NA,"SLB"
1994,0.617,"ZAF"
1994,NA,"SSD"
1994,0.671,"ESP"
1994,0.625,"LKA"
1994,0.191,"SDN"
1994,NA,"SUR"
1994,0.794,"SWE"
1994,0.721,"CHE"
1994,0.419,"SYR"
1994,0.633,"TJK"
1994,0.285,"TZA"
1994,0.425,"THA"
1994,NA,"MKD"
1994,NA,"TLS"
1994,0.321,"TGO"
1994,0.679,"TON"
1994,0.589,"TTO"
1994,0.448,"TUN"
1994,0.421,"TUR"
1994,NA,"TKM"
1994,0.262,"UGA"
1994,0.659,"UKR"
1994,0.534,"ARE"
1994,0.764,"GBR"
1994,0.863,"USA"
1994,0.605,"URY"
1994,NA,"UZB"
1994,NA,"VUT"
1994,0.475,"VEN"
1994,0.4,"VNM"
1994,0.23,"YEM"
1994,0.426,"ZMB"
1994,0.45,"ZWE"
1995,0.179,"AFG"
1995,0.551,"ALB"
1995,0.431,"DZA"
1995,NA,"AND"
1995,NA,"AGO"
1995,NA,"ATG"
1995,0.648,"ARG"
1995,0.632,"ARM"
1995,0.894,"AUS"
1995,0.709,"AUT"
1995,0.618,"AZE"
1995,NA,"BHS"
1995,0.619,"BHR"
1995,0.292,"BGD"
1995,0.66,"BRB"
1995,0.63,"BLR"
1995,0.804,"BEL"
1995,0.617,"BLZ"
1995,0.235,"BEN"
1995,NA,"BTN"
1995,0.574,"BOL"
1995,NA,"BIH"
1995,0.519,"BWA"
1995,0.523,"BRA"
1995,0.626,"BRN"
1995,0.647,"BGR"
1995,NA,"BFA"
1995,0.181,"BDI"
1995,NA,"CPV"
1995,0.297,"KHM"
1995,0.345,"CMR"
1995,0.822,"CAN"
1995,0.208,"CAF"
1995,NA,"TCD"
1995,0.627,"CHL"
1995,0.442,"CHN"
1995,0.48,"COL"
1995,NA,"COM"
1995,0.46,"COG"
1995,0.28,"COD"
1995,0.55,"CRI"
1995,0.558,"HRV"
1995,0.621,"CUB"
1995,0.655,"CYP"
1995,0.657,"CZE"
1995,0.259,"CIV"
1995,0.751,"DNK"
1995,0.171,"DJI"
1995,NA,"DMA"
1995,0.525,"DOM"
1995,0.565,"ECU"
