"year","iso3c","PrEdu","SecEdu","TerEdu"
2000,"KEN",20.97,5.52,2.26
2005,"KEN",21.07,9.52,2.84
2010,"KEN",21.95,13.3,3.4
2015,"KEN",24.1,16.2,4
1980,"KGZ",25.33,31.05,5.47
1985,"KGZ",23.14,36.86,6.54
1990,"KGZ",20.94,42.9,6.63
1995,"KGZ",19.7,47.13,6.61
2000,"KGZ",17.27,52.4,6.81
2005,"KGZ",12.55,57.18,7.56
2010,"KGZ",5.45,65.02,9
2015,"KGZ",4.5,65.7,11.1
1980,"KHM",12.06,1.33,0.13
1985,"KHM",13.17,1.49,0.15
1990,"KHM",15.98,2.05,0.19
1995,"KHM",17.16,2.38,0.24
2000,"KHM",20.36,2.33,0.23
2005,"KHM",22.01,3.43,0.79
2010,"KHM",24.85,4.51,1.32
2015,"KHM",27.5,6.9,1.4
1980,"KOR",27.06,26.11,4.76
1985,"KOR",20.2,32.19,7.18
1990,"KOR",15.29,38.97,9.4
1995,"KOR",13.2,42.9,12.9
2000,"KOR",11.15,39.59,19.08
2005,"KOR",9.8,42.87,22.09
2010,"KOR",8.84,35.46,30.04
2015,"KOR",3.5,38.3,37.6
1980,"KWT",3.93,16.37,3.96
1985,"KWT",2.76,20.3,6.1
1990,"KWT",2.37,21.94,6.1
1995,"KWT",1.63,22.62,6.3
2000,"KWT",5.15,20.11,5.39
2005,"KWT",9.16,17.48,4.18
2010,"KWT",9.61,18.7,4.28
2015,"KWT",10.6,19.6,3.8
1980,"LAO",18.4,1.59,1.15
1985,"LAO",19.74,2.14,1.51
1990,"LAO",21.7,2.66,1.9
1995,"LAO",22.13,3.69,1.8
2000,"LAO",22.32,4.51,2
2005,"LAO",21.96,5.22,2.51
2010,"LAO",20.78,6.04,3.3
2015,"LAO",19.7,7,4.1
1980,"LBR",5.5,6.13,0.93
1985,"LBR",8.66,6.79,1.14
1990,"LBR",11.5,6.86,1.44
1995,"LBR",11.65,6.89,1.69
2000,"LBR",12.84,7.88,2.35
2005,"LBR",14.95,9.71,2.41
2010,"LBR",19.24,12.49,1.9
2015,"LBR",21.5,10.4,5.4
1980,"LBY",12.52,6.34,1.06
1985,"LBY",17.19,12.21,1.31
1990,"LBY",20.12,15.37,1.75
1995,"LBY",21,18.58,2.26
2000,"LBY",21.71,17.8,6.18
2005,"LBY",20.79,16.84,8.27
