"iso3c","year","corr","burreau","demAcc","lawOrder"
"BHS",2006,"4","3","5","4.5"
"BHS",2007,"4.00","3.00","5.29","4.50"
"BHS",2008,"4","3","5.5","4.5"
"BHS",2009,"4","3","5.5","4.5"
"BHS",2010,"4","3","5.5","4.5"
"BHS",2011,"4","3","5.5","4.5"
"BHS",2012,"4","3","5.5","4.5"
"BHS",2013,"4","3","5.5","4.5"
"BHS",2014,"4.04166666666667","3","5.5","4.5"
"BHS",2015,"4.5","3","5.5","4.5"
"BHS",2016,"4.5","3","5.5","4.08333333333333"
"BHS",2017,"4.5","3","5.5","4"
"BLR",1984,NA,NA,NA,NA
"BLR",1985,NA,NA,NA,NA
"BLR",1986,NA,NA,NA,NA
"BLR",1987,NA,NA,NA,NA
"BLR",1988,NA,NA,NA,NA
"BLR",1989,NA,NA,NA,NA
"BLR",1990,NA,NA,NA,NA
"BLR",1991,NA,NA,NA,NA
"BLR",1992,NA,NA,NA,NA
"BLR",1993,NA,NA,NA,NA
"BLR",1994,NA,NA,NA,NA
"BLR",1995,NA,NA,NA,NA
"BLR",1996,NA,NA,NA,NA
"BLR",1997,NA,NA,NA,NA
"BLR",1998,"4","1","3","4"
"BLR",1999,"4","1","2.58333333333333","4"
"BLR",2000,"3.33333333333333","1","1.66666666666667","4"
"BLR",2001,"2.83333333333333","1","1","4"
"BLR",2002,"2","1","1","4"
"BLR",2003,"2","1","1.83333333333333","4"
"BLR",2004,"2","1","1.83333333333333","4"
"BLR",2005,"2","1","1","4"
"BLR",2006,"2","1","1","4"
"BLR",2007,"2.00","1.00","1.00","4.00"
"BLR",2008,"2","1","1.20833333333333","4"
"BLR",2009,"2","1","1.5","4"
"BLR",2010,"2","1","1.5","4"
"BLR",2011,"2","1","1.5","4"
"BLR",2012,"1.66666666666667","1","1.08333333333333","3.58333333333333"
"BLR",2013,"1.5","1","1","3.5"
"BLR",2014,"1.54166666666667","1","1","3.5"
"BLR",2015,"2","1.125","1","3.5"
"BLR",2016,"2","1.5","1","3.5"
"BLR",2017,"2","1.5","1","3.5"
"BOL",1984,"1.16666666666667","0","2.66666666666667","1"
"BOL",1985,"1","0","3","1"
"BOL",1986,"1","0","3","1"
"BOL",1987,"1.16666666666667","0","3","1"
"BOL",1988,"2","0","3","1"
"BOL",1989,"2","0","3","1"
"BOL",1990,"2","0","3","1"
"BOL",1991,"2","0","3","1"
"BOL",1992,"2","0","3","1.75"
"BOL",1993,"2","0.5","3.5","2"
"BOL",1994,"2.91666666666667","1","4","2.16666666666667"
"BOL",1995,"3","1","4","3"
"BOL",1996,"3","1","4","3"
"BOL",1997,"3","1.41666666666667","4","3"
"BOL",1998,"3","2","4","3"
"BOL",1999,"3","2","4","3"
"BOL",2000,"3","2","4","3"
"BOL",2001,"2.91666666666667","2","4","3"
"BOL",2002,"2","2","4","3"
"BOL",2003,"2","2","4","3"
"BOL",2004,"2","2","4","3"
"BOL",2005,"2","2","4","3"
"BOL",2006,"2","2","6","3"
"BOL",2007,"2.00","2.00","5.92","3.00"
"BOL",2008,"2","2","5","3"
"BOL",2009,"2","2","4.66666666666667","2.95833333333333"
"BOL",2010,"2","2","3.625","2.5"
"BOL",2011,"2","2","3.5","2.5"
"BOL",2012,"1.66666666666667","2","3.5","2.5"
"BOL",2013,"1.95833333333333","2.375","3.5","2.5"
"BOL",2014,"2","2.5","3.5","2.5"
"BOL",2015,"2","2.5","3.5","2.5"
"BOL",2016,"2","2.5","3.5","2.5"
"BOL",2017,"2","2.5","3.5","2.5"
"BRA",1984,"3.41666666666667","3","3.58333333333333","3.58333333333333"
"BRA",1985,"4","3","4","4"
"BRA",1986,"4","3","4","4"
"BRA",1987,"4","3","4","4"
"BRA",1988,"4","3","4","4"
"BRA",1989,"4","3","3.83333333333333","4"
"BRA",1990,"4","3","3","4"
"BRA",1991,"4","3","3","4"
"BRA",1992,"3.75","3","3","4"
"BRA",1993,"4","3","3","3.75"
"BRA",1994,"3.08333333333333","3","3","3"
"BRA",1995,"3","3","3","3"
"BRA",1996,"3","3","3","3"
"BRA",1997,"3","2.58333333333333","3.66666666666667","2.66666666666667"
"BRA",1998,"3","2","4","2"
"BRA",1999,"3","2","4","2"
"BRA",2000,"3","2","4","2"
"BRA",2001,"2.83333333333333","2","4","2"
"BRA",2002,"2.16666666666667","2","4.16666666666667","1.75"
"BRA",2003,"4","2","5","1.5"
"BRA",2004,"2.33333333333333","2","5","2.08333333333333"
"BRA",2005,"1.83333333333333","2","5","2.5"
"BRA",2006,"1.95833333333333","2","5","2.5"
"BRA",2007,"2.00","2.00","5.00","2.00"
"BRA",2008,"2.33333333333333","2","5","2"
"BRA",2009,"3","2","5","2"
"BRA",2010,"3","2","5","2"
"BRA",2011,"3","2","5","2"
"BRA",2012,"2.66666666666667","2","5","2"
"BRA",2013,"2.5","2","5","2"
"BRA",2014,"2.45833333333333","2","5","2"
"BRA",2015,"2","2","5","2"
"BRA",2016,"2","2","5","2"
"BRA",2017,"2","2","5","2"
"BRN",1984,"5","3.5","2","4"
"BRN",1985,"5","3.5","2","4"
"BRN",1986,"5","3.5","2","4"
"BRN",1987,"5","3.5","2","4"
"BRN",1988,"5","3.5","2","4"
"BRN",1989,"5","3.5","2","4"
"BRN",1990,"5","3.5","2","4"
"BRN",1991,"5","3.45833333333333","2","4"
"BRN",1992,"5","3.5","2","4"
"BRN",1993,"5","3.5","1.5","4"
"BRN",1994,"4.16666666666667","3.5","1","4.83333333333333"
"BRN",1995,"4","3.5","1","5.91666666666667"
"BRN",1996,"4","3.5","1","6"
"BRN",1997,"4","3.29166666666667","0.583333333333333","6"
"BRN",1998,"3.58333333333333","3","0","6"
"BRN",1999,"3","3","0","6"
"BRN",2000,"3","3","0","6"
"BRN",2001,"2.66666666666667","3","0","6"
"BRN",2002,"2.5","3","0","6"
"BRN",2003,"2.5","3","0","6"
"BRN",2004,"2.5","3","0.125","6"
"BRN",2005,"2.5","3","0.5","4.5"
"BRN",2006,"2.5","3.20833333333333","0.5","5"
"BRN",2007,"2.50","3.50","0.50","5.00"
"BRN",2008,"2.5","3.5","0.5","5"
"BRN",2009,"2.5","3.5","0.5","5"
"BRN",2010,"2.5","3.5","0.5","5"
"BRN",2011,"2.5","3.5","0.5","5"
"BRN",2012,"2.5","3.5","0.5","5"
"BRN",2013,"2.5","3.5","0.5","5"
"BRN",2014,"2.5","3.5","0.5","5"
"BRN",2015,"2.5","3.5","0.5","5"
"BRN",2016,"2.5","3.5","0.5","5"
"BRN",2017,"2.83333333333333","3.5","0.5","5"
"BWA",1984,NA,NA,NA,NA
"BWA",1985,"3.75","3","4","5"
"BWA",1986,"4","3","4","5"
"BWA",1987,"4","3","4","5"
"BWA",1988,"4","3","4","5"
"BWA",1989,"4.41666666666667","3","4","5"
"BWA",1990,"5","3","4","5"
"BWA",1991,"5","3","4","5"
"BWA",1992,"3.5","2.25","4","5"
"BWA",1993,"3","2","4","5"
"BWA",1994,"3","2","4","5"
"BWA",1995,"3","2","4","5"
"BWA",1996,"3","2","4.5","4.5"
"BWA",1997,"3","2","4.16666666666667","4"
"BWA",1998,"3","2","3","4"
"BWA",1999,"3","2","3","4"
"BWA",2000,"3","2","3","4"
"BWA",2001,"3","2","3","3.83333333333333"
"BWA",2002,"3","2","3","3.5"
"BWA",2003,"3","2","3.33333333333333","3.5"
"BWA",2004,"3","2","4","3.625"
"BWA",2005,"3","2","4","4"
"BWA",2006,"3.16666666666667","2","3.875","4"
"BWA",2007,"3.96","2.00","3.50","3.92"
"BWA",2008,"3.5","2","3.5","3.5"
"BWA",2009,"3.5","2","3.5","3.5"
"BWA",2010,"3.5","2","3.5","3.5"
"BWA",2011,"3.5","2","3.5","3.5"
"BWA",2012,"3.5","2","3.5","3.5"
"BWA",2013,"3.5","2","3.5","3.5"
"BWA",2014,"3.54166666666667","2","3.5","3.5"
