"iso3c","year","globFin","globRestrict","globSoc","globPol"
"AUS",1982,38.47846222,56.96367264,69.36048126,76.69395447
"AUS",1983,41.95896149,57.67006683,68.99104309,76.46569061
"AUS",1984,40.853508,59.70878601,69.05180359,75.77075195
"AUS",1985,43.22461319,61.39462662,70.08826447,75.96722412
"AUS",1986,47.4757309,61.35956955,70.53323364,75.83797455
"AUS",1987,52.12811279,62.00019455,70.77947235,75.44358826
"AUS",1988,54.61233521,62.28979492,71.62899017,79.02132416
"AUS",1989,51.31393433,62.28436279,72.61982727,78.8242569
"AUS",1990,53.59122467,62.27587128,72.9538269,78.97586823
"AUS",1991,51.50632477,63.90056229,72.99050903,81.91212463
"AUS",1992,48.5909996,65.01841736,73.49750519,85.67236328
"AUS",1993,50.65714264,66.16085815,74.5249176,86.35923767
"AUS",1994,55.43999481,67.8651886,75.11669922,86.84700775
"AUS",1995,56.05479813,69.03736115,75.96022797,87.0870285
"AUS",1996,58.74850845,71.56671906,76.91750336,85.35868073
"AUS",1997,56.24596786,74.94033051,77.56738281,86.22491455
"AUS",1998,57.70544434,75.99411011,77.37439728,86.34448242
"AUS",1999,64.54351807,77.69735718,76.93848419,86.24616241
"AUS",2000,64.02669525,77.02874756,77.5901947,88.93403625
"AUS",2001,68.21975708,77.2400589,77.65801239,89.29354858
"AUS",2002,72.20701599,72.71450806,78.19568634,89.15574646
"AUS",2003,77.21212006,73.75544739,78.76828003,88.88611603
"AUS",2004,77.71202087,74.4228363,79.3870163,88.38214111
"AUS",2005,78.25095367,74.97814941,80.20545197,88.12070465
"AUS",2006,82.67079163,75.60451508,81.0775528,88.80809021
"AUS",2007,85.91597748,75.66266632,81.44873047,89.82514191
"AUS",2008,78.22640228,74.47491455,81.98123932,89.81848145
"AUS",2009,83.55252838,74.41013336,83.11782837,90.02767944
"AUS",2010,82.76543427,75.21061707,83.8935318,90.21529388
"AUS",2011,80.64917755,77.29664612,83.64441681,90.22019958
"AUS",2012,78.48819733,76.27708435,82.89565277,90.60159302
"AUS",2013,77.16135406,74.78328705,83.5812149,90.68881989
"AUS",2014,78.78139496,77.04022217,83.03401947,90.1995163
"AUS",2015,78.51072693,75.85795593,83.39195251,90.94933319
"AUT",1980,63.09389496,74.34728241,73.74173737,80.15971375
"AUT",1981,66.22003937,74.53076935,74.09218597,79.47036743
"AUT",1982,65.84340668,75.05916595,74.10852814,79.48125458
"AUT",1983,63.62000275,75.41761017,74.11746216,80.22206116
"AUT",1984,65.4661026,75.55875397,74.33722687,81.05001831
"AUT",1985,69.70548248,76.07292175,75.24315643,81.04273224
"AUT",1986,67.99121857,76.41635132,74.66526794,85.38542938
"AUT",1987,67.52404022,76.42303467,75.56925201,84.86026764
"AUT",1988,65.94441986,76.6023407,75.56557465,82.53546906
"AUT",1989,68.2403717,76.79438019,76.13005066,80.65823364
"AUT",1990,67.29001617,77.14955902,77.29463196,80.7793808
"AUT",1991,67.91738129,78.13774872,78.01251984,89.40284729
"AUT",1992,67.12905121,78.63571167,77.99040985,90.8600235
"AUT",1993,68.89283752,79.51900482,78.32610321,91.76572418
"AUT",1994,70.1320343,80.73860931,80.6245575,92.08705139
"AUT",1995,70.43475342,83.56747437,81.11497498,92.94982147
"AUT",1996,71.68975067,85.81748199,81.84307098,93.67917633
"AUT",1997,73.37945557,88.86288452,81.87337494,94.14248657
"AUT",1998,76.1713562,89.71052551,82.49150848,94.47753906
"AUT",1999,75.89693451,89.28424072,83.00621033,94.32733154
"AUT",2000,79.89966583,90.96364594,83.69893646,94.64675903
"AUT",2001,81.32911682,89.65023804,83.23643494,94.88154602
