"iso3c","year","CLandPR"
"CMR","2013",6
"CMR","2014",6
"CMR","2015",6
"CMR","2016",6
"CMR","2017",6
"CAN","1980",1
"CAN","1981",1
"CAN","1982",1
"CAN","1983",1
"CAN","1984",1
"CAN","1985",1
"CAN","1986",1
"CAN","1987",1
"CAN","1988",1
"CAN","1989",1
"CAN","1990",1
"CAN","1991",1
"CAN","1992",1
"CAN","1993",1
"CAN","1994",1
"CAN","1995",1
"CAN","1996",1
"CAN","1997",1
"CAN","1998",1
"CAN","1999",1
"CAN","2000",1
"CAN","2001",1
"CAN","2002",1
"CAN","2003",1
"CAN","2004",1
"CAN","2005",1
"CAN","2006",1
"CAN","2007",1
"CAN","2008",1
"CAN","2009",1
"CAN","2010",1
"CAN","2011",1
"CAN","2012",1
"CAN","2013",1
"CAN","2014",1
"CAN","2015",1
"CAN","2016",1
"CAN","2017",1
"CPV","1980",6
"CPV","1981",6
"CPV","1982",6
"CPV","1983",6
"CPV","1984",6.5
"CPV","1985",6.5
"CPV","1986",6
"CPV","1987",5.5
"CPV","1988",5.5
"CPV","1989",5.5
"CPV","1990",5
"CPV","1991",2.5
"CPV","1992",1.5
"CPV","1993",1.5
"CPV","1994",1.5
"CPV","1995",1.5
"CPV","1996",1.5
"CPV","1997",1.5
"CPV","1998",1.5
"CPV","1999",1.5
"CPV","2000",1.5
"CPV","2001",1.5
"CPV","2002",1.5
"CPV","2003",1
"CPV","2004",1
"CPV","2005",1
"CPV","2006",1
"CPV","2007",1
"CPV","2008",1
"CPV","2009",1
"CPV","2010",1
"CPV","2011",1
"CPV","2012",1
"CPV","2013",1
"CPV","2014",1
"CPV","2015",1
"CPV","2016",1
"CPV","2017",1
"CAF","1980",6
"CAF","1981",6
"CAF","1982",6
"CAF","1983",6
"CAF","1984",6.5
"CAF","1985",6.5
"CAF","1986",6.5
"CAF","1987",6
"CAF","1988",6
"CAF","1989",6
"CAF","1990",5.5
"CAF","1991",5.5
"CAF","1992",5.5
"CAF","1993",3.5
"CAF","1994",3.5
"CAF","1995",3.5
"CAF","1996",4
"CAF","1997",4
"CAF","1998",3.5
"CAF","1999",3.5
"CAF","2000",3.5
"CAF","2001",5
"CAF","2002",5
"CAF","2003",6
"CAF","2004",5.5
"CAF","2005",4.5
"CAF","2006",4.5
"CAF","2007",5
"CAF","2008",5
"CAF","2009",5
"CAF","2010",5
"CAF","2011",5
"CAF","2012",5
"CAF","2013",7
"CAF","2014",7
"CAF","2015",7
"CAF","2016",7
"CAF","2017",7
"TCD","1980",6.5
"TCD","1981",6.5
"TCD","1982",6.5
"TCD","1983",6.5
"TCD","1984",7
"TCD","1985",7
"TCD","1986",7
"TCD","1987",6.5
"TCD","1988",6.5
"TCD","1989",6.5
"TCD","1990",6.5
"TCD","1991",6
"TCD","1992",6
"TCD","1993",5.5
"TCD","1994",5.5
"TCD","1995",5.5
"TCD","1996",5.5
"TCD","1997",5.5
"TCD","1998",5
"TCD","1999",5.5
"TCD","2000",5.5
"TCD","2001",5.5
"TCD","2002",5.5
"TCD","2003",5.5
"TCD","2004",5.5
"TCD","2005",5.5
"TCD","2006",6
"TCD","2007",6.5
"TCD","2008",6.5
"TCD","2009",6.5
"TCD","2010",6.5
"TCD","2011",6.5
"TCD","2012",6.5
"TCD","2013",6.5
"TCD","2014",6.5
"TCD","2015",6.5
"TCD","2016",6.5
"TCD","2017",6.5
"CHL","1980",5.5
"CHL","1981",5.5
"CHL","1982",5.5
"CHL","1983",5.5
"CHL","1984",5.5
"CHL","1985",5.5
"CHL","1986",5.5
"CHL","1987",5.5
"CHL","1988",4.5
"CHL","1989",3.5
"CHL","1990",2
"CHL","1991",2
"CHL","1992",2
"CHL","1993",2
"CHL","1994",2
"CHL","1995",2
"CHL","1996",2
"CHL","1997",2
"CHL","1998",2.5
"CHL","1999",2
"CHL","2000",2
"CHL","2001",2
"CHL","2002",1.5
"CHL","2003",1
"CHL","2004",1
"CHL","2005",1
"CHL","2006",1
"CHL","2007",1
"CHL","2008",1
"CHL","2009",1
"CHL","2010",1
"CHL","2011",1
"CHL","2012",1
"CHL","2013",1
"CHL","2014",1
"CHL","2015",1
"CHL","2016",1
"CHL","2017",1
"CHN","1980",6
"CHN","1981",6
"CHN","1982",6
"CHN","1983",6
"CHN","1984",6
"CHN","1985",6
"CHN","1986",6
"CHN","1987",6
"CHN","1988",6
"CHN","1989",7
"CHN","1990",7
"CHN","1991",7
"CHN","1992",7
"CHN","1993",7
"CHN","1994",7
"CHN","1995",7
"CHN","1996",7
"CHN","1997",7
"CHN","1998",6.5
"CHN","1999",6.5
"CHN","2000",6.5
"CHN","2001",6.5
"CHN","2002",6.5
"CHN","2003",6.5
