"iso3c","year","FID","FIA","FIE","FMD","FMA","FME"
"ITA",2013,0.5841936,0.9632595,0.6214877,0.6087928,0.6497282,1
"ITA",2014,0.5886376,0.9596416,0.6430708,0.5938963,0.6769323,1
"LUX",1980,0.5120466,0.9066355,0.6603656,0.6143288,0.7886065,0.0035996
"LUX",1981,0.5255154,0.9076048,0.6574087,0.6146106,0.7892944,0.0036082
"LUX",1982,0.5259623,0.9415257,0.666616,0.624473,0.8133694,0.0039084
"LUX",1983,0.5037829,0.9509654,0.6741355,0.6272177,0.8200692,0.003992
"LUX",1984,0.494671,0.9387063,0.6731086,0.6236534,0.8113684,0.0038835
"LUX",1985,0.4579036,0.9021657,0.6731086,0.6130292,0.785434,0.00356
"LUX",1986,0.4681807,0.9121265,0.6731086,0.6159253,0.7925036,0.0036482
"LUX",1987,0.4761058,0.9196671,0.6731086,0.6181177,0.7978555,0.0037149
"LUX",1988,0.4840471,0.9270895,0.6731086,0.6202757,0.8031234,0.0037807
"LUX",1989,0.4857822,0.9328036,0.6741897,0.6059166,0.8031234,0.0037807
"LUX",1990,0.5111642,0.9531882,0.6736519,0.5693843,0.8272261,0.0082199
"LUX",1991,0.5042654,0.9570831,0.6748366,0.5945094,0.9015937,0.01217
"LUX",1992,0.5479523,0.9762042,0.6781271,0.5570782,0.8382851,0.0099955
"LUX",1993,0.5788002,1,0.7468218,0.6927773,0.8996413,0.0694564
"LUX",1994,0.5476806,1,0.76738,0.6917334,0.9453083,0.0110484
"LUX",1995,0.5093012,0.9833704,0.7680725,0.6795905,0.9269393,0.0068337
"LUX",1996,0.5220013,0.9884315,0.756052,0.7427541,0.9825664,0.016622
"LUX",1997,0.5391756,1,0.7474353,0.7454318,1,0.0165874
"LUX",1998,0.5381995,0.9789516,0.7363805,0.7571304,1,0.0332666
"LUX",1999,0.5478477,0.9989512,0.7288079,0.75184,1,0.0286755
"LUX",2000,0.551324,1,0.7210453,0.7555518,1,0.0338592
"LUX",2001,0.5832005,1,0.7411098,0.7409839,1,0.0146884
"LUX",2002,0.5721053,1,0.7354503,0.7381678,1,0.0108436
"LUX",2003,0.5628712,1,0.7421581,0.737838,1,0.008171
"LUX",2004,0.5647192,1,0.7370366,0.7388768,1,0.0082075
"LUX",2005,0.5977435,1,0.7268203,0.7368049,1,0.0046606
"LUX",2006,0.6507367,1,0.7413228,0.738453,1,0.0034652
"LUX",2007,0.6597495,1,0.7338459,0.7390469,1,0.0018378
"LUX",2008,0.6920514,1,0.7426678,0.7426011,1,0.0139968
"LUX",2009,0.7035762,1,0.7506525,0.7400653,1,0.0030904
"LUX",2010,0.6765249,1,0.7423915,0.7482651,1,0.0016677
"LUX",2011,0.6115305,1,0.7195315,0.7447496,1,0.0014293
"LUX",2012,0.6391098,1,0.7378359,0.7511599,1,0.0016452
"LUX",2013,0.6584563,0.9935112,0.7246935,0.7405215,1,0.0016452
"LUX",2014,0.6556878,1,0.7160569,0.7388157,1,0.0016452
"NLD",1980,0.5532203,0.8805001,0.7668543,0.2253004,0.151038,0.3799172
"NLD",1981,0.5548757,0.8487412,0.7556537,0.217174,0.0930292,0.3662139
"NLD",1982,0.54938,0.8417785,0.7858034,0.2153924,0.1100271,0.3632096
"NLD",1983,0.5475191,0.9158058,0.8042904,0.2376136,0.0723025,0.4006805
"NLD",1984,0.5444763,0.8925405,0.7970058,0.2283813,0.152513,0.3851123
"NLD",1985,0.5442153,0.8608551,0.7891168,0.2202737,0.2661105,0.3714408
"NLD",1986,0.5571523,0.9133133,0.798847,0.2361892,0.2105056,0.3982787
"NLD",1987,0.5714027,0.9267374,0.8010892,0.2438605,0.2084658,0.4112144
"NLD",1988,0.6343802,0.9794301,0.8075579,0.2739719,0.2326013,0.4619904
"NLD",1989,0.6368866,0.891452,0.7473081,0.3849683,0.2838785,0.6491604
"NLD",1990,0.6384732,0.8346978,0.7236472,0.2125186,0.2291674,0.2841731
"NLD",1991,0.6412854,0.8417197,0.7211984,0.2386273,0.2533113,0.2991673
"NLD",1992,0.8099667,0.7905025,0.7116641,0.2218673,0.2772115,0.3300348
"NLD",1993,0.820213,0.7898765,0.7199511,0.3367926,0.2507278,0.4166732
"NLD",1994,0.8336534,0.7918686,0.7746919,0.5380788,0.3076708,0.7207918
"NLD",1995,0.8606168,0.8420019,0.7942676,0.5823612,0.2237203,0.7637057
